ATC1;Name1;ATC2;Name2;Mec_Detail;Eff_Detail;Kli_Detail;Grad;Pmids
N06AB06;Sertralin;M03BX02;Tizanidin;Tizanidin wird über CYP1A2 metabolisiert. Sertralin beeinflusst CYP1A2 jedoch nicht.;Keine Interaktion.;Die Kombination aus Sertralin und Tizanidin hat kein bekanntes Interaktionspotential.;A;
J05AE08;Atazanavir;C10AA05;Atorvastatin;Atazanavir hemmt CYP3A4 und darüber auch den Abbau von Atorvastatin, was zu erhöhten Plasmakonzentrationen von Atorvastatin führt [Pharmacode:2801796][Pharmacode:1927408].;Aufgrund der Inhibition von CYP3A4 durch Atazanavir kann die Atorvastatinkonzentration im Plasma ansteigen, was mit einem erhöhten Risiko für Myopathie und Rhabdomyolyse einhergeht [Pharmacode:2801796][Pharmacode:1927408].;Kombination nach Möglichkeit meiden und alternativ Statin wählen, welches nicht mit Atazanavir interagiert, wie z.B. Pravastatin. Ist nach Nutzen-Risiko-Abwägung die Kombination aus Atorvastatin und Atazanavir erforderlich, niedrige Atorvastatindosis (z.B. 10 mg/d) wählen und auf Zeichen der Myopathie und Rhabdomyolyse, wie Muskelschwäche,  Muskelschmerzen, verfärbter Urin und CK-Anstieg, achten [PMID: 17615423]. Die Kombination aus Atazanavir und Ritonavir mit Atorvastatin ist kontraindiziert.;D;17615423
J01MA02;Ciprofloxacin;M03BX02;Tizanidin;Tizanidin wird über CYP1A2 metabolisiert. Ciprofloxacin hemmt CYP1A2 stark und damit auch den Abbau von Tizanidin.;Ciprofloxacin erhöht die AUC von Tizanidin um ca. das 10-fache [PMID:15592331]. In einer Studie traten in der Kombination signifikante Blutdruckabfälle (im Mittel systolisch -35 mmHg und diastolisch -11 mmHg) auf [PMID:15592331]. Weitere mögliche Symptome der erhöhten Tizanidinkonzentrationen sind Bradykardie, Schwindel, Nausea, Sedation und QT-Zeit-Verlängerung.;Die Kombination von Ciprofloxacin und Tizanidin ist kontraindiziert.;X;15592331,17178273
J01FA01;Erythromycin;G04BE09;Vardenafil;Erythromycin hemmt den Abbau von Vardenafil via Inhibition von CYP3A4, welches den Hauptweg des Vardenafil-Metabolismus darstellt. Dadurch steigt die Vardenafil-Plasmakonzentration an [PMID:20606131].;Bei gleichzeitiger Gabe von Erythromycin und Vardenafil wurde die systemische Vardenafil-AUC 4-fach und die Vardenafil-Cmax 3-fach gesteigert [Pharmacode:2684669]. Dies erhöht das Risiko stärkerer und länger andauernder Nebenwirkungen von Vardenafil (u.a. Kopfschmerz, Hypotension, Sehstörungen, Flushing, Priapismus).;Bei gleichzeitiger Gabe von Erythromycin sollte eine maximale Vardenafil-Dosis von 5 mg pro 24h nicht überschritten werden [Pharmacode:2684669]. Sorgfältiges Monitorisieren von Vardenafil-Nebenwirkungen (u.a. Hypotension, Sehstörungen, verlängerte Erektion).;D;20606131
N06AX21;Duloxetin;N06AA14;Melitracen;Duloxetin hemmt CYP2D6 [Pharmacode:3082866] und damit auch wahrscheinlich den Metabolismus von Melitracen.;Die AUC des Trizyklikums Desipramin steigt in Kombination mit Duloxetin um ca. das 3fache an. Ähnliches gilt wohl auch für andere Trizyklika wie Melitracen. Das Risiko für eine toxische Wirkung steigt. Mögliche Symptome: Anticholinerge Effekte, Sedation, Lethargie, Verwirrtheit, Herzrhythmusstörungen [Pharmacode:630681].;Die Kombination von Duloxetin und Trizyklika sollte unter Vorsicht angewendet werden und die Trizyklikaspiegel dabei engmaschig kontrolliert und eventuell die Dosis angepasst werden. Zusätzlich Patient klinisch auf Toxizität der Trizyklika monitorisieren.;D;
J02AB02;Ketoconazol;C02KX04;Sildenafil;Ketoconazol hemmt CYP3A4, welches den Hauptweg des Sildenafil-Metabolismus darstellt. Dadurch steigt die Sildenafil-Plasmakonzentration an.;Die Kombination von Sildenafil und Ketoconazol führt zu erhöhten Sildenafil-Konzentrationen mit erhöhtem Risiko stärkerer und länger anhaltender Sildenafil-Nebenwirkungen (u.a. Kopfschmerz, Flushing, Priapismus) [Pharmacode:3449485].;Die Kombination von Sildenafil mit starken CYP3A4-Hemmern sollte vermieden werden. Sildenafil zur Behandlung der pulmonalen Hypertonie und Ketoconazol ist gemäss Fachinformation sogar kontraindiziert [Pharmacode:3449485]. Falls sie unumgänglich ist, sollte die Sildenafil-Dosis reduziert werden unter Überwachung der Nebenwirkungen.;D;20606131,10725306,10400408,18997493,11879259
N03AB02;Phenytoin;C01BD01;Amiodaron;Phenytoin induziert diverse Cytochrom-P-450-Enzyme stark, u.a. auch CYP2C9 und damit auch den Metabolismus von Amiodaron.;Der Amiodaron-Spiegel kann durch Phenytoin um bis zu 30% erniedrigt werden [PMID:2273084]. Dieser Effekt kann auch noch 2-3 Wochen nach Beginn einer Phenytoin-Therapie auftreten [PMID:2337037].;Monitorisieren des Amiodaron-Spiegels während mehreren Wochen und eventuell Dosis anpassen.;C;2337037,2273084,6486598
N06AA09;Amitriptylin;N05AA02;Levomepromazin;Levomepromazin ist ein starker Inhibitor von CYP2D6 und kann darüber den Metabolismus von Amitriptylin hemmen. In vitro hemmt Amitriptylin auch CYP2D6 [PMID:12228186], inwieweit der Metabolismus von Levomepromazin beeinflusst wird, ist aber nicht bekannt. Zudem pharmakodynamisch additive Verlängerung der QT-Zeit.;Durch die additive Verlängerung der QT-Zeit erhöht sich, insbesondere bei hohen Dosierungen, die Wahrscheinlichkeit für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand. Die erhöhten Amitriptylinkonzentrationen [Pharmacode:0655801] [PMID:7909176] können mit vermehrten Nebenwirkungen einhergehen, u.a. ZNS-Symptomen (Sedation, Halluzinationen) oder anticholinergen Symptomen (Miktionsstörungen, Tachykardie, Darmmotilitätsstörungen). Sowohl Amitriptylin als auch Levomepromazin haben anticholierge und zentraldämpfende Eigenschaften, die sich gegenseitig verstärken können (Risikofaktor: zB höheres Alter).;Regelmässige EKG-Kontrollen der QT-Zeit, insbesondere bei hohen Dosierungen und Änderungen der medikamentösen Therapie. Auch Monitorisieren von zentralnervösen und anticholinergen Nebenwirkungen (cave: beide Substanzen haben anticholinerge Effekte, Amitriptylin-Plasmakonzentrationen können ansteigen). Ggf. Dosisreduktion von Amitriptylin.;D;7909176,16175144,19142100,8256055
N03AF01;Carbamazepin;G04BE09;Vardenafil;Carbamazepin ist ein Induktor von CYP3A4 und induziert so den Metabolismus von Vardenafil.;Bei Komedikation mit dem CYP3A4-Induktor Carbamazepin kann die Wirksamkeit von Phosphodiesterase-5-Hemmern beeinträchtigt sein.;Bei Komedikation mit CYP3A4-Induktoren muss mit verringerter Wirksamkeit von Vardenafil gerechnet werden. Die Wirksamkeit soll sorgfältig überwacht und gegebenenfalls durch Dosisanpassungen sichergestellt werden[PV].;C;16100293
G04BE09;Vardenafil;A04AA01;Ondansetron;Additive Verlängerung der QT-Zeit;Vor allem nach intravenöser Verabreichung von Ondansetron wurde selten eine Verlängerung des QT-Intervalls beobachtet [PMID:18648229]. Vardenafil in Standarddosierung kann die QT-Zeit leichtgradig verlängern [PMID:16387565], Torsades de pointes wurden bisher nicht beschrieben. Durch die additive Verlängerung der QT-Zeit erhöht sich potentiell das Risiko für das Auftreten von kardialen unerwünschten Wirkungen wie Arrhythmien, Torsades de pointes oder Herzstillstand.;EKG-Kontrollen der QT-Zeit, insbesondere bei Änderungen der medikamentösen Therapie/Dosis, bei iv-Applikation von Ondansetron und bei Risikofaktoren für Arrhythmien (z.B. Elektrolytstörungen wie Hypokaliämie, Schilddrüsenfunktionsstörungen).;C;18648229,15915019,11994029,16387565
